# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
PLRX,Pliant Therapeutics Inc.,AASLD,2023,small,-13.83,-10.19,-0.86,-10.49,-4.77,3.83,2.39
LPCN,Lipocine Inc.,AASLD,2023,nano,-11.66,-10.39,5.93,-3.85,7.4,-4.0,-1.2
VIR,Vir Biotechnology Inc.,AASLD,2023,small,-2.22,3.17,9.19,1.85,12.17,11.49,9.22
AVIR,Atea Pharmaceuticals Inc.,AASLD,2023,micro,-3.33,-3.33,-6.45,-10.49,3.45,3.79,0.0
ZLDPF,Zealand Pharma A/S.,AHA,2023,,-7.04,-8.56,-5.7,-3.6,3.12,3.09,16.14
VERV,Verve Therapeutics Inc.,AHA,2023,,33.28,35.7,66.84,4.81,-31.4,-21.27,-24.01
LLY,Eli Lilly and Company,AHA,2023,large,11.04,-3.07,5.66,0.42,2.19,-0.02,-1.02
MIST,Milestone Pharmaceuticals Inc.,AHA,2023,micro,-2.35,-2.68,22.27,2.11,-23.02,-21.65,-2.75
NVS,Novartis AG,SABCS,2023,large,1.73,2.9,-2.25,-2.24,1.41,1.53,2.94
BPMC,Blueprint Medicines Corporation,ASH,2023,,34.98,25.71,7.03,1.73,14.9,18.42,22.75
ABBV,AbbVie Inc.,ASH,2023,large,7.45,7.71,7.33,3.56,2.65,2.77,3.58
APTO,Aptose Biosciences Inc.,ASH,2023,,-11.95,14.29,26.13,14.75,-12.86,-16.07,-17.68
GMAB,Genmab A/S,ASH,2023,,13.58,2.64,5.15,0.03,-6.26,-5.2,-1.89
KROS,Keros Therapeutics Inc.,ASH,2023,small,28.89,20.56,18.16,12.0,-16.8,-7.85,12.88
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),ASH,2023,large,4.38,2.7,-0.07,-0.28,0.0,-1.85,0.0
PFE,Pfizer Inc.,ASH,2023,large,-4.42,-2.37,-4.51,-1.71,-0.69,-5.98,-1.29
XFOR,X4 Pharmaceuticals Inc.,ASH,2023,micro,24.34,17.33,14.33,7.14,-29.38,-20.83,-4.28
AUTL,Autolus Therapeutics plc,ASH,2023,small,65.15,27.11,-8.79,11.79,3.21,18.81,50.0
ALLO,Allogene Therapeutics Inc.,ASH,2023,small,-2.37,-1.2,-2.76,-3.52,-4.45,17.81,24.7
ALGS,Aligos Therapeutics Inc.,AASLD,2023,nano,-12.65,-8.68,9.19,-8.05,-15.28,2.75,0.17
EFTR,eFFECTOR Therapeutics Inc.,SABCS,2023,,7.45,-0.9,-17.28,1.93,-31.6,-34.13,-24.53
INTS,Intensity Therapeutics Inc.,SABCS,2023,micro,26.58,42.67,72.03,26.98,100.25,101.5,54.25
AMGN,Amgen Inc.,ASH,2023,large,0.59,2.75,2.2,-0.42,0.31,1.53,4.74
ACLX,Arcellx Inc.,ASH,2023,,81.3,30.21,8.65,5.29,-9.55,-11.69,-6.98
GILD,Gilead Sciences Inc.,ASH,2023,large,-0.57,4.09,3.54,0.52,2.61,2.92,2.06
ONCY,Oncolytics Biotech Inc.,SABCS,2023,micro,-10.46,-12.74,-14.37,-5.52,2.19,0.73,-8.76
RHHBY,Roche Holding AG ADR,SABCS,2023,,9.03,8.83,7.5,6.41,0.42,-1.26,-0.56
CHRS,Coherus Oncology Inc.,ESMO,2023,micro,-32.72,-10.93,10.55,0.92,4.55,7.73,-11.82
ARVN,Arvinas Inc.,SABCS,2023,small,65.64,42.35,10.7,-1.31,25.73,34.65,57.14
JNJ,Johnson & Johnson,ACNP,2023,large,4.95,4.73,5.98,4.78,-1.42,-2.4,-1.52
PFE,Pfizer Inc.,SABCS,2023,large,-5.06,-6.09,-2.33,-1.38,-1.67,-2.39,-3.83
CADL,Candel Therapeutics Inc.,SITC,2023,nano,-24.56,-7.5,-4.44,-4.42,8.14,5.0,4.65
RCUS,Arcus Biosciences Inc.,ASCO,2023,small,-12.27,-0.24,1.17,9.5,0.49,-17.96,-14.72
TVTX,Travere Therapeutics Inc.,ASN,2023,small,-16.18,-13.42,-8.99,-3.24,0.91,-15.2,-11.09
IPHA,Innate Pharma S.A.,ASH,2023,micro,-16.48,-6.69,-5.11,-10.08,16.59,6.28,9.87
LGND,Ligand Pharmaceuticals Incorporated,ASN,2023,small,-12.31,-10.9,-0.54,4.52,2.7,6.89,11.6
XAIR,Beyond Air Inc.,SITC,2023,micro,-7.52,1.65,6.96,11.82,-15.24,-16.67,-39.02
XLO,Xilio Therapeutics Inc.,SITC,2023,micro,12.61,21.91,28.87,20.77,-13.6,-42.8,-50.0
CUE,Cue Biopharma Inc.,SITC,2023,micro,-3.06,2.3,22.65,24.02,14.86,4.05,9.01
SRRK,Scholar Rock Holding Corporation,SITC,2023,small,97.17,70.15,64.14,21.28,-2.95,-19.9,-3.27
MOLN,Molecular Partners AG,SITC,2023,micro,-11.06,1.95,5.82,11.76,10.53,-0.78,3.83
GILD,Gilead Sciences Inc.,ASCO,2023,large,9.03,8.7,5.2,4.91,-1.2,-8.16,-6.85
INAB,IN8bio Inc.,ASH,2023,nano,-15.52,0.0,2.08,-2.0,6.12,3.06,-6.02
ALPN,Alpine Immune Sciences Inc.,ASN,2023,,-10.54,-13.7,4.89,23.19,52.76,14.64,20.34
VRTX,Vertex Pharmaceuticals Incorporated,ASN,2023,large,4.25,4.0,1.24,2.23,1.86,-0.21,-7.13
MRK,Merck & Company Inc.,ASH,2023,large,-3.64,-0.72,2.41,-2.56,0.52,-0.46,-0.84
