ticker,catalyst_date,asset,indication
GILD,2020-12-06,YESCARTA (Axicabtagene ciloleucel) - (ZUMA-12),Diffuse Large B-Cell Lymphoma (DLBCL)
FATE,2020-12-04,FT596 With Rituximab,Non Hodgkin Lymphoma
BCRX,2020-12-03,ORLADEYO (Berotralstat),Reduce or eliminate attacks in HAE patients
VNDA,2020-12-01,HETLIOZ (tasimelteon),Smith-Magenis Syndrome
RHHBY,2020-12-01,XOLAIR (omalizumab),Chronic rhinosinusitis with nasal polyps (CRSwNP)
BPMC,2020-12-01,GAVRETO (Pralsetinib),RET-mutant medullary thyroid cancer
RYTM,2020-11-27,Setmelanotide,POMC deficiency obesity / Leptin Receptor Deficiency Obesity
LQDA,2020-11-25,YUTREPIA (treprostinil),Pulmonary arterial hypertension
YMAB,2020-11-25,DANYELZA (Naxitamab),Neuroblastoma
ALNY,2020-11-24,OXLUMO (lumasiran),Primary Hyperoxaluria Type 1 (PH1)
VTRS,2020-11-23,TIVICAY (dolutegravir),Pediatric Formulation of Dolutegravir (DTG)
RHHBY,2020-11-23,XOFLUZA (baloxavir marboxil),Acute uncomplicated influenza (12 years and older)
REGN,2020-11-21,Ronapreve (REGEN-COV 2066),COVID-19 (Anti-viral antibody)
RHHBY,2020-11-21,Ronapreve (REGEN-COV 2066),COVID-19 (Anti-viral antibody)
EIGR,2020-11-20,ZOKINVY (Lonafarnib),Hutchinson-Gilford Progeria Syndrome (HGPS)
INCY,2020-11-19,OLUMIANT (baricitinib),COVID-19
ALKS,2020-11-17,LYBALVI (olanzapine/samidorphan),"Schizophrenia, bipolar"
ADMP,2020-11-16,ZIMHI (naloxone HCI Injection),Opioid overdose
SNY,2020-11-13,Sutimlimab (BIVV009) - Cardinal,Cold agglutinin disease
MRK,2020-11-13,KEYTRUDA (pembrolizumab),Triple negative breast cancer (TNBC)
ETON,2020-11-12,Cysteine Inj (DS-300),Nutritional deficiencies
LLY,2020-11-09,BamlanivimabLY-CoV555,COVID-19 Antibody
ABCL,2020-11-09,BamlanivimabLY-CoV555,COVID-19 Antibody
SUPN,2020-11-09,QELBREE - viloxazine extended-release,ADHD
AZN,2020-11-06,BRILINTA (ticagrelor) - (THALES),Acute ischaemic stroke
KALA,2020-10-27,EYSUVIS (KPI‑121) 0.25%,Dry eye disease
GILD,2020-10-22,VEKLURY (remdesivir),COVID-19 Coronavirus
ABBV,2020-10-16,VENCLEXTA (venetoclax) - (VIALE-A),Acute Myeloid Leukemia (AML)
RHHBY,2020-10-16,VENCLEXTA (venetoclax) - (VIALE-A),Acute Myeloid Leukemia (AML)
MRK,2020-10-15,KEYTRUDA (pembrolizumab),Classical Hodgkin lymphoma
REGN,2020-10-14,INMAZEB (atoltivimab),Ebola
HRMY,2020-10-14,WAKIX (pitolisant),Adult cataplexy
ATXI,2020-10-12,Intravenous (IV) tramadol,Postoperative pain following bunionectomy surgery
FBIO,2020-10-12,Intravenous (IV) tramadol,Postoperative pain following bunionectomy surgery
BMY,2020-10-02,OPDIVO (nivolumab) + YERVOY (ipilimumab),Mesothelioma
MESO,2020-10-01,Remestemcel-L (MSC-100-IV),Steroid-refractory acute graft versus host disease (aGVHD) in children
ETON,2020-09-29,Alkindi Sprinkle,Pediatric adrenal insufficiency (AI)
PFE,2020-09-28,XELJANZ (tofacitinib),Juvenile idiopathic arthritis (JIA)
BHC,2020-09-25,Novothyrox (EM-100),Allergic conjunctivitis
ETON,2020-09-25,Novothyrox (EM-100),Allergic conjunctivitis
AQST,2020-09-25,Libervant (diazepam),Epileptic seizures
GSK,2020-09-25,NUCALA (Mepolizumab),Severe hypereosinophilic syndrome (HES)
BMY,2020-09-18,Sitravatinib and OPDIVO (nivolumab),Urothelial Carcinoma (Bladder)
MNKKQ,2020-09-14,Terlipressin,Hepatorenal syndrome (HRS) Type 1
GSK,2020-09-09,TRELEGY ELLIPTA,Asthma
TBPH,2020-09-09,TRELEGY ELLIPTA,Asthma
INVA,2020-09-09,TRELEGY ELLIPTA,Asthma
BPMC,2020-09-04,GAVRETO (Pralsetinib),RET-fusion non-small cell lung cancer (NSCLC)
BMY,2020-09-01,CC-486-AML-001,AML Maintenance
TCDA,2020-08-24,TRC 101,Chronic kidney disease
JNJ,2020-08-20,DARZALEX (Daratumumab) and KYPROLIS (carfilzomib),Multiple Myeloma
GMAB,2020-08-20,ARZERRA (ofatumumab),Relapsing multiple sclerosis
NVS,2020-08-20,ARZERRA (ofatumumab),Relapsing multiple sclerosis
GMAB,2020-08-20,DARZALEX (Daratumumab) and KYPROLIS (carfilzomib),Multiple Myeloma
BMRN,2020-08-19,Valoctocogene roxaparvovec (BMN 270),Hemophilia A
GLPG,2020-08-18,Filgotinib - (FINCH 4),Rheumatoid arthritis (RA)
GILD,2020-08-18,Filgotinib - (FINCH 4),Rheumatoid arthritis (RA)
VTRS,2020-08-17,Dimethyl fumarate (generic),Multiple sclerosis - Tecfidera generic
RHHBY,2020-08-14,ENSPRYNG (satralizumab),Neuromyelitis optica spectrum disorder (NMOSD)
MESO,2020-08-13,Remestemcel-L (MSC-100-IV),Steroid-refractory acute graft versus host disease (aGVHD) in children
FENC,2020-08-11,Pedmark (sodium thiosulfate),"Ototoxicity in non-metastatic, solid tumors"
EGRX,2020-08-10,RYANODEX (dantrolene sodium),Exertional heat stroke (EHS)
RHHBY,2020-08-07,EVRYSDI (risdiplam),Spinal Muscular Atrophy (SMA) Type 1
PTCT,2020-08-07,EVRYSDI (risdiplam),Spinal Muscular Atrophy (SMA) Type 1
TRVN,2020-08-07,OLINVYK (oliceridine),Moderate to severe acute pain
PFE,2020-08-06,DOVATO (Dolutegravir + lamivudine) - (DOLCE),HIV
GSK,2020-08-06,DOVATO (Dolutegravir + lamivudine) - (DOLCE),HIV
PFE,2020-08-05,BLENREP (belantamab mafodotin),Multiple myeloma
GSK,2020-08-05,BLENREP (belantamab mafodotin),Multiple myeloma
DBVT,2020-08-04,Viaskin Peanut - (PEOPLE),Peanut allergy - ages 4 to 11 years
JAZZ,2020-08-03,EPIDIOLEX (cannabidiol),Tuberous Sclerosis Complex
JNJ,2020-08-03,SPRAVATO (esketamine),Major depressive disorder (MDD)
NVS,2020-07-31,MONJUVI (tafasitamab),Relapsed or refractory diffuse large B cell lymphoma
XNCR,2020-07-31,MONJUVI (tafasitamab),Relapsed or refractory diffuse large B cell lymphoma
INCY,2020-07-31,MONJUVI (tafasitamab),Relapsed or refractory diffuse large B cell lymphoma
RHHBY,2020-07-30,CABOMETYX (Cabozantinib) + TECENTRIQ (atezolizumab) and Zelboraf (vemurafenib) - (IMspire150),BRAF V600 mutation-positive metastatic or unresectable locally advanced melanoma
EXEL,2020-07-30,CABOMETYX (Cabozantinib) + TECENTRIQ (atezolizumab) and Zelboraf (vemurafenib) - (IMspire150),BRAF V600 mutation-positive metastatic or unresectable locally advanced melanoma
AZN,2020-07-24,BREZTRI AEROSPHERE (budesonide/glycopyrrolate/formoterol fumarate),Chronic obstructive pulmonary disease (COPD)
